title,tag,artist,year,lyrics,views,rank
Do You Feel Me,pop,Anthony Hamilton,2007,"[Verse 1]
Wish I could see through
See deep into you
And know what you're thinkin' now
And if I'm what you're needin'
I need some kind of sign
Let me know 'cause I can't read your mind
Are you in?
Or am I in this on my own?
I need some clue from you
Let me know, babe

[Chorus]
Do you feel me? Do you read me?
Tell me, am I gettin' through to you?
I wanna know, are you with me?
Are you listenin'?
Baby, is my message gettin' through?
Do you feel me, baby?
Oh, babe, 'cause I can feel you
[Verse 2]
You play it so cool
Won't let nothin' show through
Won't show what you're feelin' now, no
And you like to keep keepin' me
Keepin' me here in the dark
And I can't see through into your heart
Let me in, in on this mystery
'Cause I just can't stay in this guessin' game

[Chorus]
Do you feel me? Do you read me?
Tell me, am I gettin' through to you?
I wanna know, are you with me?
Are you listenin'?
Baby, is my message gettin' through?
Do you feel me, baby?
Oh, baby, I can feel you

[Bridge]
And don't keep me hangin' on the line, baby
Tell me if you want me
And if you don't, just let me go
Just answer one question
Don't keep me here guessin'
Tell me now
[Chorus]
Do you feel me? Do you read me?
Tell me, am I gettin' through to you?
I wanna know, are you with me?
Are you listenin'?
Baby, is my message gettin' through?
Do you feel me, baby?
Oh, babe, 'cause I can feel you

[Chorus]
Do you feel me? Do you read me?
Tell me, am I gettin' through to you?
I wanna know, are you with me?
Are you listenin'?
Baby, is my message gettin' through?
Do you feel me, baby?
Oh, babe, 'cause I can feel you",26179,15316
Make Meh Feel,pop,Dante Sklaw,2020,"[Intro]
Yeah
Sklaw Gang
Where did you go?

[Chorus]
It's been countless times that I've told myself I didn't feel a thing for you
When I was sitting all alone in my bed thinking about you
And how you make me feel, in a way I've never felt before
(Make meh feel Yeah, Make meh feel)
When I was sitting all alone in my bed thinking about you

[Verse]
The beauty of this deception
Is that it slips you into a deep depression Yeah
You’re stuck in intermission yeah
Yeah you’re stuck in limbo
Feeling like a weirdo
And you wanna get out
But you can’t, no
You gon’ blackout yeah
Takin’ Too many xanny bars yeah
Left meh crashing cars yeah
Left my best friend down in the dark yeah
Now my heart
It fell apart
And okay with that
I feel like these humans wanna suck up on my energy
I'm played like a pawn, By these women you see
I cannot fill up their energies
They feel some negativity
Wanna see that positivity shine
But I cannot let it go, I feel so fucking blind
Huh!
[Bridge]
Thinking about the girl that broke my heart and let meh down
I gave her everything
I gave her the world
And she just gave meh hurt
Yeah
Yeah
She fell apart, look at her now
She’s nothing bro
I'm fucking gone
I'm fucking done
Yeah
Bye

[Chorus]
It's been countless times that I've told myself I didn't feel a thing for you
When I was sitting all alone in my bed thinking about you
And how you make me feel, in a way I've never felt before
When I was sitting all alone in my bed thinking about you

[Outro]
[?]
Let me go (Can't let go, I can’t let go)
Yeah, yeah",15435,23539
Two-Step,pop,Low,1999,"And the light, it burns your skin
In a language you don't understand

It's not that hard
It is not that hard

That's not all
Voices small
Heed them either way they call

Two-step around the room
Kneel down on white
Two-step around the room
Kneel down on white
Two-step around the room
You can kneel down on white
Two-step around the room
You can kneel down on white

That's not all
Voices small
Heed them either way they call
And the light, it burns your skin
In a language you don't understand",2002,113199
ME,pop,Taylor Swift,2019,"[Intro: Taylor Swift]
I promise that you'll never find another like me

[Verse 1: Taylor Swift]
I know that I'm a handful, baby, uh
I know I never think before I jump
And you're the kind of guy the ladies want
(And there's a lot of cool chicks out there)
I know that I went psycho on the phone
I never leave well enough alone
And trouble's gonna follow where I go
(And there's a lot of cool chicks out there)

[Pre-Chorus: Taylor Swift]
But one of these things is not like the others
Like a rainbow with all of the colors
Baby doll, when it comes to a lover
I promise that you'll never find another like

[Chorus: Taylor Swift]
Me-e-e, ooh-ooh-ooh-ooh
I'm the only one of me
Baby, that's the fun of me
Eeh-eeh-eeh, ooh-ooh-ooh-ooh
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e
[Verse 2: Brendon Urie & Taylor Swift]
I know I tend to make it about me
I know you never get just what you see
But I will never bore you, baby
(And there's a lot of lame guys out there)
And when we had that fight out in the rain
You ran after me and called my name
I never wanna see you walk away
(And there's a lot of lame guys out there)

[Pre-Chorus: Taylor Swift & Brendon Urie, Brendon Urie]
'Cause one of these things is not like the others
Livin' in winter, I am your summer
Baby doll, when it comes to a lover
I promise that you'll never find another like

[Chorus: Brendon Urie, Taylor Swift & Brendon Urie]
Me-e-e, ooh-ooh-ooh-ooh
I'm the only one of me
Let me keep you company
Eeh-eeh-eeh, ooh-ooh-ooh-ooh
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e

[Bridge: Brendon Urie, Taylor Swift & Both]
Girl, there ain't no ""I"" in ""team""
But you know there is a ""me""
Strike the band up, one, two, three
I promise that you'll never find another like me
Girl, there ain't no ""I"" in ""team""
But you know there is a ""me""
And you can't spell ""awesome"" without ""me""
I promise that you'll never find another like
[Chorus: Both, Taylor Swift & Brendon Urie]
Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby)
I'm the only one of me (I'm the only one of me)
Baby, that's the fun of me (Baby, that's the fun of me)
Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh)
You're the only one of you (Oh)
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e

[Outro: Brendon Urie, Taylor Swift & Both]
Girl, there ain't no ""I"" in ""team"" (Ooh-ooh-ooh-ooh)
But you know there is a ""me""
I'm the only one of me (Oh-oh)
Baby, that's the fun of me
(Eeh-eeh-eeh, ooh-ooh-ooh-ooh)
Strike the band up, one, two, three
You can't spell ""awesome"" without ""me""
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e",1417794,202
Someone Is Waiting,pop,2018 London Cast of Company,2019,"[BOBBIE]
Someone is waiting
Sweet as David
Funny and charming as Peter
Larry
Someone is waiting
Cute as Jamie
Sassy as Harry and tender as
Paul
Would I know him, even if I met him?
Have I missed him? Did I let him go?
A Peter sort of Larry
A David kind of Paul
Wait for me, I'm ready now
If you exist at all!

Someone will hold me
Strong as David
Silly and solid like Peter
Larry
Someone will wake me
Warm as David
Loyal as Harry and loving as
Paul
Did I know him? Have I waited too long?
Maybe so, but maybe so has he!
My loyal Harry, loving Paul
Cute Jamie, happy Peter
Handsome Larry
Wait for me... I’ll hurry!
Wait for me... Hurry!
Wait for me... Hurry!
Wait for me...",5641,52091
Im In Love Without You,pop,FINNEAS,2017,"[Chorus]
I'm in love without you
Please don't still love me
I'm in love without you
But you still find a way inside my dreams

[Verse 1]
How can you say there was nothing wrong with us?
When everyday you called, you yelled, you had enough
I loved you more and more each time you slammed the door
My bloody knuckles knocking on and end up bruised
But I loved you less and less as my love turned to loneliness
And I'd already lost what I was afraid to lose

[Chorus]
Now I'm in love without you
Please don't still love me
I'm in love without you
But you still find a way inside my dreams

[Verse 2]
Now, can you see, why you should get over me?
Soon there will be someone else for you to learn to need
You loved him more and more as you stopped keeping score
Of who I was and what we were and when we knew
You loved me less and less as you lean in against his chest
And hear the heartbeat that only beats for you
[Chorus]
Now I'm in love without you
So please don't still love me
I'm in love without you
But you still find a way inside my dreams

[Outro]
Inside my dreams
Inside my dreams
Inside my dreams
Inside my dreams
I'm in love without you",25980,15395
SugarCrash Clean,pop,ElyOtto,2020,"[Chorus]
I'm on a sugar crash, I ain't got no ... cash
Maybe I should take a bath, cut my ... brain in half
I'm not lonely, just a bit tired of this ...
Nothin' that I write can make me feel good

[Verse]
Victim of the great machine, in love with everythin' I see
Neon lights surroundin' me, I indulge in luxury
Everythin' I do is wrong, 'cept for when I hit the bong
Hit the bong, hit the bo—, feel good
Feeling ... in my bed, didn't take my ...
Hyperpop up in my ears, everything just disappears
Don't wanna be someone else, just don't wanna hate myself
I just don't wanna hate myself, instead I wanna feel good

[Chorus]
I'm on a sugar crash, I ain't got no ... cash
Maybe I should take a bath, cut my ... brain in half
I'm not lonely, just a bit tirеd of this ...
Nothin' that I write can make me feel good
[Bridge]
Whеre to now?
Got the rest of my life just laid out
Got the rest of my life to ... around
Got the rest of my life to make sound

[Outro]
Where to now?
Got the rest of my life just laid out
Got the rest of my life to ... around
Got the rest of my life to make sound
Feel good",2806,88289
On the Attack,pop,Langhorne Slim & The Law,2012,"It's taken so long
So long to be
Measure the man
I hoped I would be
I take a step forward
I take two steps back
I can't help but be bored
Unless I'm on the attack
And attacking's alright
We were up on the hill
Where the blueberries grow
With time to kill
I started to fall
And it got
Hard to breathe
And it got
Hard to relax
Hard to face yourself
When you're still busy
Looking back
And attacking's alright
My love please understand
My love please understand
We're alone in this world
Doing all we can
To find somebody
To love and to hold
With a good warm heart
Cause it's getting cold
Honey please
Try to understand
It's time
To love
Your man
I met a blonde girl
She took me into her bed
I wanted her body
She wanted me dead
On a cool summer evening
I awoke from a dream
Scared of something that was
Inside of me
My love please understand
Jessie my love please understand
We're alone in this world
Every woman every man
Trying to find somebody
To love and to hold
With a good warm heart
Cause it's getting cold
Honey please
Try to understand
It's time
To love
Your man",6513,46591
Surrounded Fight My Battles,pop,Bethel Music,2020,"[Verse]
This is how I fight my battles
This is how I fight my battles
This is how I fight my battles
This is how I fight my battles

[Chorus]
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You

[Verse]
This is how I fight my battles
This is how I fight my battles
This is how I fight my battles
This is how I fight my battles, mm

[Chorus]
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
It may look like I'm surrounded, but I'm surrounded by You
[Bridge]
Rock of Ages, cleft for me
Let me hide, let me hide
Rock of Ages, cleft for me
Let me hide, let me hide
Let me hide myself in Thee

[Verse]
This is how I fight my battles, mm
This is how I fight my battles
This is how I fight my battles, yeah
This is how I fight my battles",29101,14006
Adventure Is Out There,pop,AJR,2021,"[Verse 1]
I keep losing my socks
Where the hell do they go?
I bet they're finally free
Floating somewhere in the sea
Do they miss my feet?
I keep losing my socks
I got nothing to wear
I bet they're at her place
A house where I can't show my face
How I wanna be there

[Chorus]
Holy moly, it's a real do-nothing day
I could change address and try another state
I could change my name, it won't do anything
Adventure is out there (Adventure is out there)
So why am I in hеre (So why am I in here) today?

[Verse 2]
Think I'm losing my mind
Apathеtic and tired 
Think where they could be
Some hotel in Germany
Hope they're loving the ride
[Chorus]
Holy moly, it's a real do-nothing day
I could change address and try another state
I could change my name, it won't do anything
Adventure is out there (Adventure is out there)
So why am I in here (So why am I in here) today?

[Verse 3]
I bought me some new socks
I won't lose them, I'm sure
And someday, hopefully
I'll slip away and they'll lose me
And I'll be seeing the world

[Chorus]
Holy moly, it's a real do-nothing day
I could change address and try another state
I could change my name, it won't do anything
Adventure is out there (Adventure is out there)
So why am I in here (So why am I in here) today?",29767,13753
‌papabless,pop,Bilmuri,2018,"[Verse 1]
I know I'm lost, but please just hold on
And I'll find it myself, it's taking so long
But I'm not scared, like I was before
I don't feel so numb, put my chest off the floor

[Chorus]
Ah, need you by my side right now
Oh, so I don't feel so lost in doubt
Ah, need you by my side right now
Oh, so I don't feel so lost in doubt

[Verse 2]
I know I'm lost in this place, so low
I don't know what's real anymore, more
It doesn't matter if you're next to me
Hold you in my arms and I can breathe

[Chorus]
Ah, need you by my side right now
Oh, so I don't feel so lost in doubt
Ah, need you by my side right now
Oh, so I don't feel so lost in doubt
[Bridge]
Ah, need you by my side right now
Oh, so I don't feel so lost in doubt

[Chorus]
Ah, need you by my side right now
Oh, so I don't feel so lost in doubt

[Outro]
I don't feel so lost in doubt
I don't feel so lost in doubt",1852,119831
After the Last Midtown Show,pop,The Academy Is...,2008,"[Verse 1]
It's a drunken midnight on the streets
Brightly dusted with a neon light
We duck behind the corner store
Smoke your smokes while I keep
A watchful eye
Right here, right now
I hope before the night is through
One fumbled touch will finally hit the spot
You've got everything going for you
So I'll go for you with everything I got

[Pre-Chorus]
Right here, the best days of our lives
Is this coincidence or a sign?
Is there anything I missed?
Is there anything I missed?
Tell me if I'm wrong
But why would we change a thing?

[Verse 2]
When the morning light fights through the cracks
Cascading across the bed, and you are mine
When your parents start to wake for work
Between the sheets, I'll keep a watchful eye
[Pre-Chorus]
Right here, the best days of our lives
Is this coincidence or a sign?
Is there anything I missed?
Is there anything I missed?
Tell me if I'm wrong
But why would we change a thing?

[Chorus]
When we met I was on my back
I swear we spent most afternoons
Somewhere in the act
We were part of something ours
And ours alone
Anywhere was home
We're almost here again

[Chorus]
When we met I was on my back
I swear we spent most afternoons
Somewhere in the act
We were part of something ours
And ours alone
Anywhere was home
We're almost here again
We're almost here again
We're almost here again
Right here, right now",3077,82402
Borderline,pop,Tame Impala,2020,"[Verse 1]
Gone a little far
Gone a little far this time with something
How was I to know?
How was I to know this high came rushing?

[Chorus]
We're on the borderline
Dangerously fine and unforgiven
Possibly a sign
I'm gonna have the strangest night on Sunday

[Verse 2]
Here I go
Quite a show for a loner in L.A.​
I wonder how I managed to end up in this place
Where I couldn't get away

[Chorus]
We're on the borderline (Ooh)
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train
Like a train
[Refrain]
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
(Comes the sun)

[Verse 3]
Gone a little far
Gone a little far this time with something
Rudy said it's fine
They used to do this all the time in college (If you and I get comfortable)

[Chorus]
And we're on the borderline (Ooh)
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train
[Refrain]
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
(Comes the sun)",281208,1750
Put Your Arms Around Me,pop,Texas,1997,"Are you ready maybe
Are you willing to run
Are you ready to let yourself drown
Are you holding your breath
Are you ready or not

Are you ready maybe
Do you long to confess
Do you feel that you're already known
Are you sure of yourself
Would you lie if you're not

You tire me out
Don't wanna let that happen
A secret screamed so loud
Why did you let that happen

Hoo hoo so put your arms around me
You let me believe that you are someone else
Hoo hoo cause only time can take you
So let me believe
That I am someone else
Maybe, are you ready to break
Do you think that I push you too far
Would you open yourself
Are you reckless or not

You tire me out
Don't wanna let that happen
A secret screamed so loud
Why did you let that happen

Hoo hoo so put your arms around me
You let me believe that you are someone else
Hoo hoo cause only time can take you
So let me believe
That I am somewhere else
Let me believe that I am somewhere else

Sha la la la la
Sha la la la la
Sha la la la la
Sha la la la la

Sha la la la la
Sha la la la la
Sha la la la la
Sha la la la la
Hoo hoo so put your arms around me
Hoo hoo so put your arms around me

Make me believe
Take me take me
Somewhere
Somewhere
Let me believe
Cause only time can take you
So stop",1969,114631
